Id;Domain;Request number;Bytes sent;Bytes received
1;http://mistrzowie.org/;1;15866;0
2;http://detectportal.firefox.com/success.txt;1;8;0
3;http://delivery.adrecover.com/block.jpg?ts=1522784741384;1;631;0
4;http://www.wp.pl/;1;53;0
5;http://www.interia.pl/;1;178;0
6;http://google.com/;1;268;0
7;http://tibia.pl/;1;7969;0
8;http://tibia.pl/templates/layout1/css/main.css;1;5123;0
9;http://tibia.pl/templates/layout1/css/autosuggest_inquisitor.css;1;682;0
10;http://tibia.pl/js/bsn.AutoSuggest_2.1.3.js;1;2823;0
11;http://tibia.pl/templates/layout1/css/reset.css;1;575;0
12;http://tibia.pl/js/jquery.js;1;14641;0
13;http://tibia.pl/js/plugins.js;1;4254;0
14;http://tibia.pl/js/main.js;1;1151;0
15;http://tibia.pl/js/funcs.js;1;1682;0
16;http://tibia.pl/cdn-cgi/scripts/d07b1474/cloudflare-static/email-decode.min.js;1;577;0
17;http://tibia.pl/templates/layout1/css/i/tibiapl-logo.png;1;19707;0
18;http://tibia.pl/templates/layout1/css/i/bar-bg.jpg;1;18180;0
19;http://tibia.pl/templates/layout1/css/i/masthead-bg.jpg;1;88996;0
20;http://tibia.pl/templates/layout1/css/i/body-bg.png;1;5003;0
21;http://tibia.pl/altaron.jpg;1;55687;0
22;http://tibiasms.pl/js/widget2.js?v=3;1;154;0
23;http://tibia.pl/templates/layout1/css/i/nav-bg.png;1;234;0
24;http://tibia.pl/templates/layout1/css/i/button-bg.png;1;427;0
25;http://tibia.pl/templates/layout1/css/i/content-bg.png;1;3052;0
26;http://tibia.pl/templates/layout1/css/i/do-you-know.png;1;27743;0
27;http://tibia.pl/templates/layout1/css/i/text-separator.png;1;3118;0
28;http://tibia.pl/templates/layout1/css/i/header-bg.png;1;6232;0
29;http://tibia.pl/templates/layout1/css/i/nav-fauxborder.png;1;138;0
30;http://tibia.pl/templates/layout1/css/i/subnav-bg.png;1;126;0
31;http://tibia.pl/templates/layout1/css/i/nav-2nd-separator.png;1;187;0
32;http://tibia.pl/templates/layout1/css/i/nav-selected.png;1;1063;0
33;http://images.tibia.pl/forum/images/smilies/wink.gif;1;696;0
34;http://tibia.pl/templates/layout1/css/i/menu-2nd-separator.png;1;158;0
35;http://tibia.pl/templates/layout1/css/i/ticker-bg.png;1;6815;0
36;http://tibia.pl/templates/layout1/css/i/search.png;1;1844;0
37;http://tibia.pl/templates/layout1/css/i/menu-2nd-top.png;1;3610;0
38;http://tibia.pl/templates/layout1/css/i/menu-bg.png;1;2942;0
39;http://tibia.pl/templates/layout1/css/i/nav-separator.png;1;962;0
40;http://tibia.pl/templates/layout1/css/i/menu-2nd-bg.png;1;136;0
41;http://tibia.pl/templates/layout1/css/i/menu-separator.png;1;157;0
42;http://tibia.pl/templates/layout1/css/i/menu-selected.png;1;1295;0
43;http://tibia.pl/templates/layout1/css/i/menu-header.png;1;3381;0
44;http://tibia.pl/templates/layout1/css/i/langs-separator.png;1;126;0
45;http://www.tibiasms.pl/js/widget2.js?v=3;1;154;0
46;http://www.tibiasms.pl/;1;20499;0
47;http://tibia.pl/templates/layout1/css/i/content-round.png;1;465;0
48;http://tibia.pl/favicon.ico;1;2238;0
49;http://tibia.pl/templates/layout1/css/i/advanced-trigger.png;1;662;0
50;http://tibia.pl/templates/layout1/css/i/header-rounded.png;1;555;0
51;http://bmi-online.pl/;1;4225;0
52;http://stat4v.pl/data/callback/store;1;20;0
